Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound_lap,TyreLife,FreshTyre,Team,Position,LapTimeSeconds_lap,TrackTemp,AirTemp,Humidity,WindSpeed
0 days 01:08:58.245000,VER,1,0 days 00:01:38.779000,6,1,,,False,MEDIUM,6,True,Red Bull Racing,6,98.779,35.0,27.3,18.0,1.8
0 days 01:08:59.492000,ANT,12,0 days 00:01:38.911000,6,1,,,False,MEDIUM,6,True,Mercedes,7,98.911,35.0,27.3,18.0,1.8
0 days 01:09:01.121000,TSU,22,0 days 00:01:39.055000,6,1,,,False,MEDIUM,6,True,Racing Bulls,8,99.055,35.0,27.3,18.0,1.8
0 days 01:09:02.064000,HAD,6,0 days 00:01:38.814000,6,1,,,False,MEDIUM,6,True,Racing Bulls,9,98.814,35.0,27.3,18.0,1.8
0 days 01:09:02.878000,OCO,31,0 days 00:01:38.964000,6,1,,,False,MEDIUM,6,True,Haas F1 Team,10,98.964,35.0,27.3,18.0,1.8
0 days 01:09:03.628000,ALB,23,0 days 00:01:39.123000,6,1,,,False,MEDIUM,6,True,Williams,11,99.123,35.0,27.3,18.0,1.8
0 days 01:09:04.463000,GAS,10,0 days 00:01:39.162000,6,1,,,False,MEDIUM,6,False,Alpine,12,99.162,35.0,27.3,18.0,1.8
0 days 01:09:05.347000,STR,18,0 days 00:01:39.160000,6,1,,,False,HARD,6,True,Aston Martin,13,99.16,35.0,27.3,18.0,1.8
0 days 01:09:06.157000,SAI,55,0 days 00:01:39.179000,6,1,,,False,MEDIUM,6,True,Williams,14,99.179,35.0,27.3,18.0,1.8
0 days 01:09:07.890000,BEA,87,0 days 00:01:39.229000,6,1,,,False,HARD,6,True,Haas F1 Team,15,99.229,35.0,27.3,18.0,1.8
0 days 01:09:08.802000,DOO,7,0 days 00:01:39.533000,6,1,,,False,MEDIUM,6,False,Alpine,16,99.533,35.0,27.3,18.0,1.8
0 days 01:09:09.592000,LAW,30,0 days 00:01:39.342000,6,1,,,False,HARD,6,True,Red Bull Racing,17,99.342,35.0,27.3,18.0,1.8
0 days 01:09:13.024000,HUL,27,0 days 00:01:39.681000,6,1,,,False,MEDIUM,6,True,Kick Sauber,18,99.681,35.0,27.3,18.0,1.8
